Date;Certified_Stocks
;Close
08.03.2024;424752
07.03.2024;410877
06.03.2024;392547
05.03.2024;381107
01.03.2024;360547
29.02.2024;353606
28.02.2024;342766
27.02.2024;333771
26.02.2024;332797
23.02.2024;324157
22.02.2024;315827
21.02.2024;307262
20.02.2024;307262
16.02.2024;307262
15.02.2024;302462
14.02.2024;302462
13.02.2024;297445
12.02.2024;297470
09.02.2024;297795
08.02.2024;289552
07.02.2024;288745
06.02.2024;288745
05.02.2024;281455
02.02.2024;266890
01.02.2024;261893
31.01.2024;249829
30.01.2024;250569
29.01.2024;243465
26.01.2024;249206
25.01.2024;254336
24.01.2024;257478
23.01.2024;255893
22.01.2024;253978
19.01.2024;253108
18.01.2024;263810
17.01.2024;267340
16.01.2024;259190
11.01.2024;258066
10.01.2024;258066
09.01.2024;256380
08.01.2024;252646
05.01.2024;253144
04.01.2024;253144
03.01.2024;253144
02.01.2024;251224
29.12.2023;251224
28.12.2023;258399
27.12.2023;246941
26.12.2023;247912
22.12.2023;247912
21.12.2023;247912
20.12.2023;247944
19.12.2023;242999
18.12.2023;242399
15.12.2023;242399
14.12.2023;242399
13.12.2023;240974
12.12.2023;240974
11.12.2023;235659
08.12.2023;234699
07.12.2023;234699
06.12.2023;234699
05.12.2023;229341
04.12.2023;224066
01.12.2023;224066
30.11.2023;224066
29.11.2023;259800
28.11.2023;293564
27.11.2023;290734
24.11.2023;290734
22.11.2023;290734
21.11.2023;290734
20.11.2023;289699
17.11.2023;289699
16.11.2023;289699
15.11.2023;297100
14.11.2023;297100
13.11.2023;302235
10.11.2023;302235
09.11.2023;302235
08.11.2023;310501
07.11.2023;337915
06.11.2023;347555
03.11.2023;360009
02.11.2023;368100
01.11.2023;380033
31.10.2023;389138
30.10.2023;390135
27.10.2023;394175
26.10.2023;406466
25.10.2023;410171
24.10.2023;410171
23.10.2023;417296
20.10.2023;421424
19.10.2023;421614
18.10.2023;431772
17.10.2023;432022
16.10.2023;434772
13.10.2023;440773
12.10.2023;448022
11.10.2023;445442
10.10.2023;442222
09.10.2023;442222
06.10.2023;442222
05.10.2023;442222
04.10.2023;443042
03.10.2023;444871
02.10.2023;441945
29.09.2023;441945
28.09.2023;444073
27.09.2023;446518
26.09.2023;446518
25.09.2023;446518
22.09.2023;440853
21.09.2023;440853
20.09.2023;440853
19.09.2023;448113
18.09.2023;448113
15.09.2023;445913
14.09.2023;442548
13.09.2023;442548
12.09.2023;442548
11.09.2023;442553
08.09.2023;450153
07.09.2023;458411
06.09.2023;467919
05.09.2023;467919
01.09.2023;483383
31.08.2023;484738
30.08.2023;490739
29.08.2023;500931
28.08.2023;512433
25.08.2023;512753
24.08.2023;512753
23.08.2023;513503
22.08.2023;513503
21.08.2023;513595
18.08.2023;513665
17.08.2023;514909
16.08.2023;514909
15.08.2023;513740
14.08.2023;514305
11.08.2023;520869
10.08.2023;520869
09.08.2023;525917
08.08.2023;527942
07.08.2023;527942
04.08.2023;527942
03.08.2023;527942
02.08.2023;528002
01.08.2023;528752
31.07.2023;528752
28.07.2023;528752
27.07.2023;532523
26.07.2023;532248
25.07.2023;532248
24.07.2023;532055
21.07.2023;535870
20.07.2023;541266
19.07.2023;541266
18.07.2023;541266
17.07.2023;544203
14.07.2023;545203
13.07.2023;545503
12.07.2023;545823
11.07.2023;543888
10.07.2023;545050
07.07.2023;545050
06.07.2023;545615
05.07.2023;544595
03.07.2023;544595
30.06.2023;544915
29.06.2023;545819
28.06.2023;546039
27.06.2023;549252
26.06.2023;546650
23.06.2023;546650
22.06.2023;546650
21.06.2023;541139
20.06.2023;541774
16.06.2023;545327
15.06.2023;546325
14.06.2023;547800
13.06.2023;548111
12.06.2023;550354
09.06.2023;550379
08.06.2023;552221
07.06.2023;555206
06.06.2023;557304
05.06.2023;565084
02.06.2023;573508
01.06.2023;574443
31.05.2023;583518
30.05.2023;592634
26.05.2023;598493
25.05.2023;609778
24.05.2023;620633
23.05.2023;620633
22.05.2023;627297
19.05.2023;629810
18.05.2023;629810
17.05.2023;634264
16.05.2023;639096
15.05.2023;642776
12.05.2023;644735
11.05.2023;646385
10.05.2023;649830
09.05.2023;650970
08.05.2023;655156
05.05.2023;657297
04.05.2023;659324
03.05.2023;663976
02.05.2023;671795
01.05.2023;672365
28.04.2023;680163
27.04.2023;687652
26.04.2023;698868
25.04.2023;698868
24.04.2023;699508
21.04.2023;699508
20.04.2023;699508
19.04.2023;700048
18.04.2023;708312
17.04.2023;709612
14.04.2023;710687
13.04.2023;710687
12.04.2023;720992
11.04.2023;729504
10.04.2023;729594
06.04.2023;730659
05.04.2023;731959
04.04.2023;732533
03.04.2023;742609
31.03.2023;742894
30.03.2023;742894
29.03.2023;745391
28.03.2023;747853
27.03.2023;747853
24.03.2023;747578
23.03.2023;749933
22.03.2023;775488
21.03.2023;775785
20.03.2023;776073
17.03.2023;787375
16.03.2023;788915
15.03.2023;785577
14.03.2023;785577
13.03.2023;782702
10.03.2023;779452
09.03.2023;771326
08.03.2023;767551
07.03.2023;763700
06.03.2023;765626
03.03.2023;774646
02.03.2023;786721
01.03.2023;787025
28.02.2023;787345
27.02.2023;794575
24.02.2023;800137
23.02.2023;809566
22.02.2023;814966
21.02.2023;832072
17.02.2023;832230
16.02.2023;840604
15.02.2023;844914
14.02.2023;870079
13.02.2023;873104
10.02.2023;874654
09.02.2023;880722
08.02.2023;891933
07.02.2023;887378
06.02.2023;872853
03.02.2023;872853
02.02.2023;872853
01.02.2023;870855
31.01.2023;861495
09.01.2023;836658
06.01.2023;830272
05.01.2023;820540
04.01.2023;813152
03.01.2023;814668
30.12.2022;814686
29.12.2022;808201
28.12.2022;797755
27.12.2022;787005
23.12.2022;787005
22.12.2022;788275
21.12.2022;785600
20.12.2022;775656
19.12.2022;765583
16.12.2022;753981
15.12.2022;743010
14.12.2022;732641
13.12.2022;717646
12.12.2022;705572
08.12.2022;668581
07.12.2022;658890
06.12.2022;648648
05.12.2022;637360
02.12.2022;609267
01.12.2022;605192
30.11.2022;591769
29.11.2022;575907
28.11.2022;565853
25.11.2022;557938
23.11.2022;550749
22.11.2022;530105
21.11.2022;513189
18.11.2022;497809
17.11.2022;484089
16.11.2022;485369
15.11.2022;468291
14.11.2022;468291
11.11.2022;454056
10.11.2022;448704
09.11.2022;441899
08.11.2022;426717
07.11.2022;406638
04.11.2022;387986
03.11.2022;382695
02.11.2022;384795
01.11.2022;384795
31.10.2022;384795
28.10.2022;384795
27.10.2022;385465
26.10.2022;386465
25.10.2022;387705
24.10.2022;388865
21.10.2022;390577
20.10.2022;392727
