Date;LRC-TOT-VG (COMM_LAST)
;Close
29.4.2024;3747
26.4.2024;3758
25.4.2024;3760
24.4.2024;3708
23.4.2024;3711
22.4.2024;3671
19.4.2024;3673
18.4.2024;3544
17.4.2024;3491
16.4.2024;3463
15.4.2024;3376
12.4.2024;3257
11.4.2024;3222
10.4.2024;3157
09.4.2024;3111
08.4.2024;3122
05.4.2024;3094
04.4.2024;3094
03.4.2024;3056
02.4.2024;3058
28.3.2024;3047
27.3.2024;2998
26.3.2024;2943
25.3.2024;2956
22.3.2024;2928
21.3.2024;2894
20.3.2024;2859
19.3.2024;2852
18.3.2024;2800
15.3.2024;2725
14.3.2024;2656
13.3.2024;2547
12.3.2024;2471
11.3.2024;2432
08.3.2024;2403
07.3.2024;2375
06.3.2024;2335
05.3.2024;2347
04.3.2024;2359
01.3.2024;2419
29.2.2024;2453
28.2.2024;2453
27.2.2024;2409
26.2.2024;2284
23.2.2024;2300
22.2.2024;2107
21.2.2024;1958
20.2.2024;1960
19.2.2024;1980
16.2.2024;2009
15.2.2024;2199
14.2.2024;2343
13.2.2024;2439
12.2.2024;2461
09.2.2024;2514
08.2.2024;2520
07.2.2024;2584
06.2.2024;2725
05.2.2024;2735
02.2.2024;2778
01.2.2024;2832
31.1.2024;2886
30.1.2024;2886
29.1.2024;2977
26.1.2024;3008
25.1.2024;3063
24.1.2024;3067
23.1.2024;3079
22.1.2024;2931
19.1.2024;3001
18.1.2024;3111
17.1.2024;3113
16.1.2024;3113
15.1.2024;3194
12.1.2024;3311
11.1.2024;3410
10.1.2024;3418
09.1.2024;3418
08.1.2024;3440
05.1.2024;3440
04.1.2024;3446
03.1.2024;3453
02.1.2024;3458
29.12.2023;3458
28.12.2023;3405
27.12.2023;3501
22.12.2023;3522
21.12.2023;3391
20.12.2023;3417
19.12.2023;3418
18.12.2023;3422
15.12.2023;3456
14.12.2023;3456
13.12.2023;3465
12.12.2023;3472
11.12.2023;3476
08.12.2023;3459
07.12.2023;3466
06.12.2023;3620
05.12.2023;3666
04.12.2023;3750
01.12.2023;3928
30.11.2023;3944
29.11.2023;4136
28.11.2023;4181
27.11.2023;4254
24.11.2023;4267
23.11.2023;4051
22.11.2023;3915
21.11.2023;3974
20.11.2023;3931
17.11.2023;3873
16.11.2023;3849
15.11.2023;3730
14.11.2023;3810
13.11.2023;3751
10.11.2023;3998
09.11.2023;4002
08.11.2023;4052
07.11.2023;4071
06.11.2023;4098
03.11.2023;4043
02.11.2023;3995
01.11.2023;3912
31.10.2023;3953
30.10.2023;3959
27.10.2023;3968
26.10.2023;3976
25.10.2023;3688
24.10.2023;3630
23.10.2023;3576
20.10.2023;3586
19.10.2023;3628
18.10.2023;3746
17.10.2023;3817
16.10.2023;3891
13.10.2023;3967
12.10.2023;4160
11.10.2023;4171
10.10.2023;4193
09.10.2023;4195
06.10.2023;4203
05.10.2023;4222
04.10.2023;4238
03.10.2023;4244
02.10.2023;4266
29.9.2023;4278
28.9.2023;4278
27.9.2023;4297
26.9.2023;4297
25.9.2023;4307
22.9.2023;4289
21.9.2023;4292
20.9.2023;4172
19.9.2023;4007
18.9.2023;3868
15.9.2023;3873
14.9.2023;3775
13.9.2023;3645
12.9.2023;3577
11.9.2023;3577
08.9.2023;3528
07.9.2023;3498
06.9.2023;3437
05.9.2023;3499
04.9.2023;3501
01.9.2023;3363
31.8.2023;3374
30.8.2023;3380
29.8.2023;3384
25.8.2023;3408
24.8.2023;3598
22.8.2023;3611
21.8.2023;3615
18.8.2023;3864
17.8.2023;3961
16.8.2023;4170
15.8.2023;4350
14.8.2023;4754
11.8.2023;4934
10.8.2023;5013
09.8.2023;5017
08.8.2023;5019
07.8.2023;5096
04.8.2023;5096
03.8.2023;5105
02.8.2023;5131
01.8.2023;5183
31.7.2023;5205
28.7.2023;5205
27.7.2023;5344
26.7.2023;5351
25.7.2023;5353
24.7.2023;5353
21.7.2023;5336
20.7.2023;5273
19.7.2023;5275
18.7.2023;5275
17.7.2023;5454
14.7.2023;5422
12.7.2023;5435
11.7.2023;5436
10.7.2023;5686
07.7.2023;5988
06.7.2023;6213
05.7.2023;6819
03.7.2023;7390
30.6.2023;7395
29.6.2023;7395
28.6.2023;7373
27.6.2023;7375
26.6.2023;7335
23.6.2023;7559
22.6.2023;7559
21.6.2023;7584
20.6.2023;7615
19.6.2023;7615
16.6.2023;7624
15.6.2023;7840
14.6.2023;7848
13.6.2023;7885
12.6.2023;7852
09.6.2023;7857
08.6.2023;7922
07.6.2023;7955
06.6.2023;7964
05.6.2023;7964
02.6.2023;8117
01.6.2023;8141
31.5.2023;8161
30.5.2023;8165
26.5.2023;8185
25.5.2023;8185
24.5.2023;8313
23.5.2023;8303
22.5.2023;8261
19.5.2023;8281
18.5.2023;8236
17.5.2023;8168
16.5.2023;8082
15.5.2023;8084
12.5.2023;8091
11.5.2023;8035
10.5.2023;8035
09.5.2023;7973
05.5.2023;7926
04.5.2023;7876
03.5.2023;7911
02.5.2023;7865
28.4.2023;7869
27.4.2023;7818
26.4.2023;7783
25.4.2023;7783
24.4.2023;7740
21.4.2023;7705
20.4.2023;7705
19.4.2023;7759
18.4.2023;7760
17.4.2023;7460
14.4.2023;7420
13.4.2023;7385
12.4.2023;7405
11.4.2023;7409
05.4.2023;7538
04.4.2023;7538
